product_id,warehouse_id,quantity,last_updated
PROD-00004306,WH-006,12,2026-04-06T13:19:21.363655
PROD-00007418,WH-003,244,2026-04-06T13:19:21.363678
PROD-00007249,WH-009,110,2026-04-06T13:19:21.363685
PROD-00008066,WH-002,4,2026-04-06T13:19:21.363690
PROD-00007840,WH-004,470,2026-04-06T13:19:21.363695
PROD-00005843,WH-006,114,2026-04-06T13:19:21.363700
PROD-00008941,WH-002,422,2026-04-06T13:19:21.363703
PROD-00005328,WH-010,475,2026-04-06T13:19:21.363708
PROD-00001038,WH-006,149,2026-04-06T13:19:21.363712
PROD-00005683,WH-003,372,2026-04-06T13:19:21.363716
PROD-00004390,WH-001,414,2026-04-06T13:19:21.363720
PROD-00001535,WH-001,465,2026-04-06T13:19:21.363724
PROD-00009766,WH-004,250,2026-04-06T13:19:21.363728
PROD-00000038,WH-004,195,2026-04-06T13:19:21.363732
PROD-00008546,WH-004,184,2026-04-06T13:19:21.363736
PROD-00008078,WH-010,427,2026-04-06T13:19:21.363740
PROD-00009911,WH-008,197,2026-04-06T13:19:21.363744
PROD-00007290,WH-007,475,2026-04-06T13:19:21.363747
PROD-00005123,WH-008,189,2026-04-06T13:19:21.363752
PROD-00005055,WH-008,375,2026-04-06T13:19:21.363756
PROD-00002357,WH-004,235,2026-04-06T13:19:21.363760
PROD-00004606,WH-004,152,2026-04-06T13:19:21.363764
PROD-00008567,WH-004,197,2026-04-06T13:19:21.363768
PROD-00007761,WH-001,493,2026-04-06T13:19:21.363771
PROD-00003240,WH-004,159,2026-04-06T13:19:21.363776
PROD-00009729,WH-003,282,2026-04-06T13:19:21.363780
PROD-00000057,WH-002,456,2026-04-06T13:19:21.363784
PROD-00009330,WH-003,329,2026-04-06T13:19:21.363788
PROD-00004183,WH-002,29,2026-04-06T13:19:21.363792
PROD-00002285,WH-004,439,2026-04-06T13:19:21.363796
PROD-00006634,WH-009,24,2026-04-06T13:19:21.363800
PROD-00000522,WH-003,319,2026-04-06T13:19:21.363804
PROD-00003807,WH-003,294,2026-04-06T13:19:21.363808
PROD-00004092,WH-010,106,2026-04-06T13:19:21.363812
PROD-00006143,WH-008,373,2026-04-06T13:19:21.363816
PROD-00002417,WH-005,228,2026-04-06T13:19:21.363820
PROD-00007465,WH-001,147,2026-04-06T13:19:21.363824
PROD-00009078,WH-004,114,2026-04-06T13:19:21.363828
PROD-00003510,WH-010,136,2026-04-06T13:19:21.363832
PROD-00006975,WH-005,337,2026-04-06T13:19:21.363835
PROD-00005074,WH-005,152,2026-04-06T13:19:21.363839
PROD-00005215,WH-002,71,2026-04-06T13:19:21.363843
PROD-00001774,WH-008,127,2026-04-06T13:19:21.363847
PROD-00001444,WH-009,479,2026-04-06T13:19:21.363851
PROD-00000510,WH-010,249,2026-04-06T13:19:21.363861
PROD-00004225,WH-003,286,2026-04-06T13:19:21.363865
PROD-00005146,WH-007,208,2026-04-06T13:19:21.363869
PROD-00004076,WH-006,199,2026-04-06T13:19:21.363873
PROD-00009940,WH-004,470,2026-04-06T13:19:21.363877
PROD-00001720,WH-005,264,2026-04-06T13:19:21.363881
PROD-00002987,WH-010,382,2026-04-06T13:19:21.363885
PROD-00009486,WH-001,407,2026-04-06T13:19:21.363889
PROD-00007281,WH-003,368,2026-04-06T13:19:21.363893
PROD-00009712,WH-006,196,2026-04-06T13:19:21.363897
PROD-00007359,WH-003,381,2026-04-06T13:19:21.363901
PROD-00001609,WH-001,216,2026-04-06T13:19:21.363905
PROD-00005762,WH-007,168,2026-04-06T13:19:21.363909
PROD-00001250,WH-003,180,2026-04-06T13:19:21.363913
PROD-00004482,WH-009,446,2026-04-06T13:19:21.363917
PROD-00006492,WH-008,101,2026-04-06T13:19:21.363921
PROD-00007503,WH-007,53,2026-04-06T13:19:21.363925
PROD-00006653,WH-008,33,2026-04-06T13:19:21.363929
