order_item_id,order_id,product_id,quantity,unit_price
OI-0000000001,ORD-00000001,PROD-00001443,2,31.79
OI-0000000002,ORD-00000001,PROD-00004345,2,704.0
OI-0000000003,ORD-00000001,PROD-00004772,3,479.59
OI-0000000004,ORD-00000002,PROD-00002576,3,111.66
OI-0000000005,ORD-00000002,PROD-00006083,1,916.29
OI-0000000006,ORD-00000002,PROD-00002817,1,1215.2
OI-0000000007,ORD-00000003,PROD-00009787,1,841.66
OI-0000000008,ORD-00000003,PROD-00009399,4,1693.41
OI-0000000009,ORD-00000003,PROD-00004903,4,1704.25
OI-0000000010,ORD-00000004,PROD-00007024,1,989.35
OI-0000000011,ORD-00000004,PROD-00006907,1,1311.46
OI-0000000012,ORD-00000004,PROD-00008918,2,1278.6
OI-0000000013,ORD-00000005,PROD-00001644,2,135.1
OI-0000000014,ORD-00000005,PROD-00004928,5,1319.42
OI-0000000015,ORD-00000005,PROD-00005105,5,125.7
OI-0000000016,ORD-00000006,PROD-00006184,1,1823.49
OI-0000000017,ORD-00000006,PROD-00000341,4,1614.78
OI-0000000018,ORD-00000006,PROD-00009004,5,1129.24
OI-0000000019,ORD-00000007,PROD-00005319,4,1587.49
OI-0000000020,ORD-00000007,PROD-00007562,1,316.26
OI-0000000021,ORD-00000007,PROD-00003544,3,160.5
OI-0000000022,ORD-00000008,PROD-00009675,5,709.34
OI-0000000023,ORD-00000008,PROD-00001038,5,1072.51
OI-0000000024,ORD-00000008,PROD-00009513,4,848.94
OI-0000000025,ORD-00000009,PROD-00002495,4,833.05
OI-0000000026,ORD-00000009,PROD-00005138,4,1377.72
OI-0000000027,ORD-00000009,PROD-00001230,3,1155.36
OI-0000000028,ORD-00000010,PROD-00005804,4,482.84
OI-0000000029,ORD-00000010,PROD-00009692,4,1463.04
OI-0000000030,ORD-00000010,PROD-00008749,2,53.96
OI-0000000031,ORD-00000011,PROD-00003585,5,1784.45
OI-0000000032,ORD-00000011,PROD-00005467,5,427.59
OI-0000000033,ORD-00000011,PROD-00000483,4,1020.73
OI-0000000034,ORD-00000012,PROD-00004716,3,1647.36
OI-0000000035,ORD-00000012,PROD-00002752,1,1717.27
OI-0000000036,ORD-00000012,PROD-00000887,4,317.38
OI-0000000037,ORD-00000013,PROD-00008910,3,66.08
OI-0000000038,ORD-00000013,PROD-00003343,2,1630.57
OI-0000000039,ORD-00000013,PROD-00004020,3,374.99
OI-0000000040,ORD-00000014,PROD-00002611,4,1305.29
OI-0000000041,ORD-00000014,PROD-00004445,1,1532.37
OI-0000000042,ORD-00000014,PROD-00003325,2,1881.39
OI-0000000043,ORD-00000015,PROD-00001851,2,1072.71
OI-0000000044,ORD-00000015,PROD-00000440,3,1226.86
OI-0000000045,ORD-00000015,PROD-00004834,1,1075.91
OI-0000000046,ORD-00000016,PROD-00000505,5,1492.36
OI-0000000047,ORD-00000016,PROD-00007461,5,1966.84
OI-0000000048,ORD-00000016,PROD-00000670,5,1314.46
OI-0000000049,ORD-00000017,PROD-00008407,4,359.2
OI-0000000050,ORD-00000017,PROD-00009767,5,1821.63
OI-0000000051,ORD-00000017,PROD-00005548,2,1886.91
OI-0000000052,ORD-00000018,PROD-00002276,1,6.0
OI-0000000053,ORD-00000018,PROD-00004998,2,1209.68
OI-0000000054,ORD-00000018,PROD-00006427,1,20.22
OI-0000000055,ORD-00000019,PROD-00008339,2,1733.2
OI-0000000056,ORD-00000019,PROD-00008300,1,1078.85
OI-0000000057,ORD-00000019,PROD-00004064,2,205.87
OI-0000000058,ORD-00000020,PROD-00007398,4,1998.01
OI-0000000059,ORD-00000020,PROD-00008797,3,1635.69
OI-0000000060,ORD-00000020,PROD-00007981,4,877.54
OI-0000000061,ORD-00000021,PROD-00004590,1,1460.56
OI-0000000062,ORD-00000021,PROD-00006559,4,939.06
OI-0000000063,ORD-00000021,PROD-00003943,3,1542.85
OI-0000000064,ORD-00000022,PROD-00000837,5,926.92
OI-0000000065,ORD-00000022,PROD-00008553,5,821.93
OI-0000000066,ORD-00000022,PROD-00005343,3,723.9
OI-0000000067,ORD-00000023,PROD-00007109,1,1076.71
OI-0000000068,ORD-00000023,PROD-00002189,1,732.18
OI-0000000069,ORD-00000023,PROD-00009437,2,1596.27
OI-0000000070,ORD-00000024,PROD-00009245,1,167.32
OI-0000000071,ORD-00000024,PROD-00006314,3,192.44
OI-0000000072,ORD-00000024,PROD-00002242,5,1015.17
OI-0000000073,ORD-00000025,PROD-00002650,1,1428.46
OI-0000000074,ORD-00000025,PROD-00005823,1,1551.81
OI-0000000075,ORD-00000025,PROD-00006267,5,652.57
OI-0000000076,ORD-00000026,PROD-00001087,5,1088.45
OI-0000000077,ORD-00000026,PROD-00008724,5,1672.1
OI-0000000078,ORD-00000026,PROD-00005284,5,577.08
OI-0000000079,ORD-00000027,PROD-00009303,1,642.76
OI-0000000080,ORD-00000027,PROD-00000344,1,1687.83
OI-0000000081,ORD-00000027,PROD-00002676,5,1601.07
OI-0000000082,ORD-00000028,PROD-00006484,5,1287.58
OI-0000000083,ORD-00000028,PROD-00008804,5,658.6
OI-0000000084,ORD-00000028,PROD-00004449,3,152.69
OI-0000000085,ORD-00000029,PROD-00009536,1,148.82
OI-0000000086,ORD-00000029,PROD-00007317,3,1515.33
OI-0000000087,ORD-00000029,PROD-00005589,2,1123.6
OI-0000000088,ORD-00000030,PROD-00008446,2,670.79
OI-0000000089,ORD-00000030,PROD-00009769,5,1517.27
OI-0000000090,ORD-00000030,PROD-00001101,4,126.54
OI-0000000091,ORD-00000031,PROD-00007329,2,1462.36
OI-0000000092,ORD-00000031,PROD-00000346,2,946.03
OI-0000000093,ORD-00000031,PROD-00002385,3,1742.06
OI-0000000094,ORD-00000032,PROD-00004941,3,425.6
OI-0000000095,ORD-00000032,PROD-00006641,4,226.15
OI-0000000096,ORD-00000032,PROD-00006863,1,1906.45
OI-0000000097,ORD-00000033,PROD-00008309,3,1695.21
OI-0000000098,ORD-00000033,PROD-00001631,2,349.73
OI-0000000099,ORD-00000033,PROD-00000707,4,1310.32
OI-0000000100,ORD-00000034,PROD-00000414,4,667.86
OI-0000000101,ORD-00000034,PROD-00001568,2,1550.73
OI-0000000102,ORD-00000034,PROD-00007010,4,805.47
OI-0000000103,ORD-00000035,PROD-00000418,3,953.24
OI-0000000104,ORD-00000035,PROD-00006224,2,1963.38
OI-0000000105,ORD-00000035,PROD-00002036,3,1175.71
OI-0000000106,ORD-00000036,PROD-00009340,2,110.85
OI-0000000107,ORD-00000036,PROD-00007210,1,294.26
OI-0000000108,ORD-00000036,PROD-00005724,3,1043.55
OI-0000000109,ORD-00000037,PROD-00009426,1,1831.69
OI-0000000110,ORD-00000037,PROD-00002267,3,383.26
OI-0000000111,ORD-00000037,PROD-00001786,5,431.37
OI-0000000112,ORD-00000038,PROD-00001664,2,916.91
OI-0000000113,ORD-00000038,PROD-00002864,2,22.9
OI-0000000114,ORD-00000038,PROD-00003605,3,396.12
OI-0000000115,ORD-00000039,PROD-00008906,2,1998.26
OI-0000000116,ORD-00000039,PROD-00001105,2,1706.33
OI-0000000117,ORD-00000039,PROD-00008093,3,1020.29
OI-0000000118,ORD-00000040,PROD-00003420,5,1735.21
OI-0000000119,ORD-00000040,PROD-00002533,3,472.38
OI-0000000120,ORD-00000040,PROD-00006916,2,478.27
OI-0000000121,ORD-00000041,PROD-00000618,5,116.13
OI-0000000122,ORD-00000041,PROD-00009421,4,482.06
OI-0000000123,ORD-00000041,PROD-00004064,1,422.5
OI-0000000124,ORD-00000042,PROD-00008188,5,1315.39
OI-0000000125,ORD-00000042,PROD-00007832,1,99.37
OI-0000000126,ORD-00000042,PROD-00008032,2,774.7
OI-0000000127,ORD-00000043,PROD-00002789,3,28.55
OI-0000000128,ORD-00000043,PROD-00001373,1,768.6
OI-0000000129,ORD-00000043,PROD-00005418,3,733.79
OI-0000000130,ORD-00000044,PROD-00002401,5,924.95
OI-0000000131,ORD-00000044,PROD-00004773,5,231.19
OI-0000000132,ORD-00000044,PROD-00001096,4,1736.69
OI-0000000133,ORD-00000045,PROD-00009663,4,369.43
OI-0000000134,ORD-00000045,PROD-00006105,5,1504.85
OI-0000000135,ORD-00000045,PROD-00001590,5,487.38
OI-0000000136,ORD-00000046,PROD-00006092,4,1502.86
OI-0000000137,ORD-00000046,PROD-00005634,3,901.74
OI-0000000138,ORD-00000046,PROD-00001259,1,1085.4
OI-0000000139,ORD-00000047,PROD-00001807,3,896.49
OI-0000000140,ORD-00000047,PROD-00007652,4,1542.15
OI-0000000141,ORD-00000047,PROD-00002863,5,694.88
OI-0000000142,ORD-00000048,PROD-00003533,2,997.57
OI-0000000143,ORD-00000048,PROD-00000640,3,1893.77
